RecordedDate,Q2.12,Q2.15,Q2.14,Q2.4,Q2.6,Q2.2,Q2.1,Q35.1,Q35.2,Q35.4,Q37.4,Q37.3,Q38.3,Q38.6,Q38.10,Q2.13
2021-04-07 21:02:30,Employed full time,Independent,Bachelor's degree,Asian,United States of America,Cisgender Woman,1998,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 21:03:07,Employed part time,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,Los Angeles,Strongly agree,No,Yes,,,Strongly agree,Might or might not,Strongly agree,"Less than $10,000"
2021-04-07 21:03:28,Employed part time,Independent,Some college,Asian,United States of America,Cisgender Woman,1999,Strongly disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-07 21:10:22,Employed full time,Prefer not to say,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1978,Strongly agree,No,Yes,,,Neither agree nor disagree,Probably yes,Neither agree nor disagree,"$20,000 - $29,999"
2021-04-07 21:10:43,Student,Socialist,Some college,Other:,United States of America,Cisgender Woman,2000,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,
2021-04-07 21:10:43,Student,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Woman,1998,Strongly disagree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"$10,000 - $19,999"
2021-04-07 21:13:37,Student,Independent,Some college,Asian,United States of America,Cisgender Man,2002,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 21:13:56,Student,Independent,No college,Asian,United States of America,Cisgender Woman,2002,Somewhat agree,Yes,Yes,,,Somewhat agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 21:14:59,Student,Socialist,Some college,Non-Hispanic White,United States of America,Cisgender Man,1999,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-07 21:15:04,Unemployed looking for work,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1997,Strongly agree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 21:15:18,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Somewhat agree,Yes,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 21:16:34,Student,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,2001,Neither agree nor disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 21:16:34,Student,Prefer not to say,Some college,Prefer not to answer,United States of America,Prefer not to disclose,1998,Neither agree nor disagree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 21:20:48,Employed full time,Democrat,Bachelor's degree,Hispanic or Latino,United States of America,Cisgender Woman,1998,Strongly disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"$50,000 - $59,999"
2021-04-07 21:21:03,Employed part time,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"$20,000 - $29,999"
2021-04-07 21:25:58,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Somewhat agree,"$50,000 - $59,999"
2021-04-07 21:26:45,Employed part time,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 21:27:28,Unemployed looking for work,Democrat,Some college,Asian,United States of America,Cisgender Man,2001,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,
2021-04-07 21:28:05,Employed part time,Socialist,Some college,Asian,United States of America,Non-binary,1999,Somewhat agree,Yes,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 21:28:26,Student,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1999,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 21:29:09,Student,Democrat,Some college,Asian,United States of America,Cisgender Man,2001,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 21:31:15,Student,Republican,Some college,Native Hawaiian or Pacific Islander,United States of America,Cisgender Man,1999,Neither agree nor disagree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 21:35:12,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Man,2001,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 21:36:45,Student,Democrat,Some college,Asian,United States of America,Cisgender Man,2001,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 21:38:41,Unemployed not looking for work,Independent,Some college,Non-Hispanic White,United States of America,Cisgender Man,1970,Strongly agree,No,No,,,Strongly agree,Definitely yes,Somewhat agree,
2021-04-07 21:42:07,Employed full time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Woman,1964,,,,,,,,,
2021-04-07 21:42:40,Student,Democrat,No college,Asian,United States of America,Cisgender Man,2001,Neither agree nor disagree,Yes,No,,,Strongly agree,Definitely yes,Somewhat agree,
2021-04-07 21:43:14,Employed part time,Democrat,No college,Non-Hispanic White,United States of America,Cisgender Man,2002,Somewhat disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 21:49:55,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2002,Strongly disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,
2021-04-07 21:53:52,Employed part time,Democrat,No college,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,Yes,Yes,,,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-07 21:56:42,Student,Other,Some college,Non-Hispanic White,United States of America,Cisgender Man,2001,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 22:00:11,Employed part time,Other,No college,Black or African American,United States of America,Cisgender Man,2000,Strongly disagree,No,No,Someone followed her for three blocks,Teacher,Strongly disagree,Might or might not,Neither agree nor disagree,"$10,000 - $19,999"
2021-04-07 22:00:52,Student,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1998,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 22:02:07,Student,Democrat,Bachelor's degree,Asian,United States of America,Non-binary,"Mumbai, India",Neither agree nor disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 22:02:20,Employed part time,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1999,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-07 22:02:24,Student,Socialist,Some college,Non-Hispanic White,United States of America,Cisgender Man,1999,Strongly agree,No,No,,,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 22:03:53,Employed full time,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Man,new york,,,,,,,,,"$30,000 - $39,999"
2021-04-07 22:04:11,Employed part time,Democrat,Some college,Asian,United States of America,Cisgender Woman,1998,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely not,Strongly agree,"Less than $10,000"
2021-04-07 22:04:35,Student,Independent,No college,Asian,United States of America,Cisgender Woman,1998,Somewhat disagree,No,No,,,Strongly agree,Definitely yes,Strongly disagree,
2021-04-07 22:05:37,Employed full time,Republican,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1986,,,,,,,,,"$80,000 - $89,999"
2021-04-07 22:08:45,Student,Democrat,Some college,Other:,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 22:08:58,Student,Socialist,Some college,Asian,United States of America,Cisgender Woman,1999,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-07 22:13:32,Student,Democrat,No college,Asian,United States of America,Cisgender Woman,2002,Somewhat agree,No,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 22:17:18,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2001,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 22:20:44,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Neither agree nor disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,
2021-04-07 22:26:46,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 22:29:07,Employed part time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Woman,1989,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Somewhat agree,"$30,000 - $39,999"
2021-04-07 22:30:59,Student,Independent,Some college,Hispanic or Latino,United States of America,Other,1990,,,,,,,,,"$50,000 - $59,999"
2021-04-07 22:32:17,Student,Prefer not to say,Some college,Other:,United States of America,Cisgender Man,2001,Neither agree nor disagree,Yes,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-07 22:37:54,Employed part time,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 22:41:28,Unemployed looking for work,Democrat,Bachelor's degree,Hispanic or Latino,United States of America,Cisgender Man,1997,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,
